File Name,Author,Institution,Company
MAYUNIQU_20130913.pdf,['' 'Aniruddhajoshi'],Research Report This,"['Shares Stock Brok Limited' 'ARSSBL' 'EBITDA' 'FY11' 'FY14e' 'Foreign'
 'MUNI' 'PVC' 'Recipient' 'Research' 'Sensex' 'YE' 'Capital' 'EBITDA'
 'Interest' 'PAT' 'ValuationsFig' 'ANAND' 'ARSSBL' 'Date' 'Ratings'
 'Research' 'SEBI' 'Securities' 'US' 'Rathi Shares Stock Brokers Limited'
 'ARSSBL' 'Capital' 'Suite']"
GOODYEAR INDIA LTD Detail Report.pdf,[],Others,"['ˇ' 'ˇ' 'BA5' 'ˇBB' 'ˇˇˆˇ' 'ˆˇˆ' 'ˇ0ˇ' 'ˇˇˇˇˇ' 'ADRs' 'AIMs' 'Acqu'
 'Consumer' 'Corporate' 'Equity' 'FCCBs' 'Financial' 'Firstcall' 'Foreign'
 'GDRs' 'International' 'Mergers' 'Placement' 'Singapore']"
BrandyAward_INDSPIRIT2009.pdf,[],Others,['House' 'INDSPIRIT' 'Raja' 'TI' 'UB' 'ﬁBrandy']
La Opal_Glassware_ChinaPR_UAE.pdf,[],Others,"['Allied' 'Assessment' 'Authority' 'Collection' 'Commerce' 'Customs'
 'Designated' 'Directorate' 'Gazette' 'INITIATION' 'Identification'
 'Industry' 'Solicitors' 'UAE' 'WHEREAS' 'Anti' 'Articles' 'Authority'
 'Custom' 'Glass' 'IBIS' 'Petitioner' 'UAE' 'Allied' 'Authority' 'Commerce'
 'Designated' 'Directorate' 'INSPECTION' 'Industry' 'Ministry' 'OF'
 'PUBLIC' 'Authority' 'Central' 'Designated']"
TTK Prestige Ltd Q1FY15 Result Review.pdf,[''],Edel Invest Research Hold TTK,"['Invest Research Hold TTK Prestige Ltd' 'CAGR' 'CMP' 'Cookware' 'EBITDA'
 'FY14' 'FY15' 'FY15E' 'FY16E' 'INR' 'Non' 'Others' 'PE' 'Q1FY15' 'Rice'
 'SHARE' 'TTK' 'YoY' 'TTK' 'Ltd Company TTK Prestige Ltd' 'TTK' 'TTK' 'TTK'
 'TTK' 'Edelweiss Securities Limited' 'Certification' 'Disclaimer' 'EBL'
 'Edelweiss' 'Exchange' 'FINRA' 'Financial' 'Individual' 'Intellectual'
 'LLC' 'Major' 'Mumbai' 'R' 'SEC' 'Securities' 'United']"
BCG- Investor Sustainability Report - 2016.pdf,[],Others,"['AND' 'Future' 'MITSMRreport' 'SUSTAINABILITY' 'ALEXANDER' 'AUTHORS'
 'Arison' 'BCG' 'Boston' 'ECOFACT' 'HOLGER' 'Haanaes' 'KIRON' 'KRUSCHWITZ'
 'MARTIN' 'MEYER' 'MIT' 'NINA' 'REEVES' 'RUBEL' 'SUSTAINABLE' 'smr-help'
 'Communicate' 'Deal' 'MIT' 'REPORT' 'RiseŁ' 'SUSTAINABLE' 'ESG' 'MIT'
 'SUSTAINABLE' 'Sustainable' 'BCG' 'BOSTON' 'Boston' 'ESG' 'MIT' 'NIRI'
 'National' 'SUSTAINABLE' 'THE' 'CORPORATE' 'METRICS' 'MIT' 'PERFORMANCE'
 'SUSTAINABLE' 'Arabesque' 'BOSTON' 'BlackRock' 'Bloomberg' 'Council' 'ESG'
 'HBS' 'Harvard' 'MIT' 'OtherInstitutionalinvestors' 'Oxford'
 'Retailinvestors' 'SAMPLE' 'SRI' 'SUSTAINABLE' 'United' 'Arabesque' 'BBVA'
 'MIT' 'SUSTAINABLE' 'Sustainable' 'US' 'United' 'expectationsWhy' 'Apple'
 'BOSTON' 'Bank' 'Byers' 'Deal' 'ESG' 'Generation' 'Harvard' 'INVESTMENT'
 'Inter' 'MIT' 'MSCI' 'PowerPoint' 'Principles' 'Responsible' 'SUSTAINABLE'
 'UN' 'ﬁSustainability' 'Bill' 'Corporate' 'KLP' 'Kommunal' 'MIT'
 'SUSTAINABLE' 'Schroders' 'TOP' 'ﬁAiming' 'BOSTON' 'Company' 'Corporation'
 'Dow' 'ESG' 'FTSE4' 'Indices' 'Investor' 'MIT' 'SUSTAINABLE' 'Whole' 'BNY'
 'BP' 'Corporate' 'ESG' 'European' 'Future' 'GRI' 'General' 'Global'
 'Harvard' 'High' 'Leadership' 'MIT' 'RobecoSAM' 'SUSTAINABLE' 'State'
 'Sustainability' 'ﬁFor' 'ﬁGroup' 'ﬁThe' 'BBVA' 'BOSTON' 'IR' 'MIT' 'NIRI'
 'Nasdaq' 'National' 'SUSTAINABLE' 'ﬁSustainability' 'BUSINESS' 'COMPANIES'
 'Chemicals' 'MIT' 'Principles' 'Responsible' 'STRATEGIES' 'SUSTAINABILITY'
 'SUSTAINABLE' 'Techn' 'Telco' 'United' 'Guinea New Britain Palm Oil Ltd'
 'BOSTON' 'CEO' 'CO2' 'CORPORATE' 'Clorox' 'General' 'Generation' 'HOW'
 'Integrate' 'MIT' 'New' 'Raleigh' 'SUSTAINABLE' 'ﬁSustainability' 'ESG'
 'Generation' 'MIT' 'SUSTAINABLE' 'Associated' 'BOSTON' 'Companies'
 'Corporate' 'Corporation' 'Global' 'Growth' 'MIT' 'Nations'
 'Organizational' 'SIF' 'SUSTAINABLE' 'Sustainability' 'Value' 'ﬁAllianz'
 'ﬁGlobal' 'ﬁReport' 'ﬁThe' 'ﬁWhat' 'Art' 'BCG' 'CBS' 'Communicate' 'DJSI'
 'EBITDA' 'Gold' 'Into' 'Leadership' 'MIT' 'Miners' 'NIRI' 'New'
 'SUSTAINABLE' 'Sustainability' 'Texas' 'ﬁAl' 'ﬁAtlas' 'ﬁBP' 'ﬁCorporate'
 'ﬁCould' 'ﬁGamila' 'ﬁInvestors' 'ﬁLarge' 'ﬁLumber' 'ﬁMattel' 'ﬁMitsubishi'
 'ﬁSeventh' 'ﬁThe' 'ﬁTomorrow' 'ﬁVolkswagen' 'ﬂNew' 'BOSTON' 'MIT' 'NO'
 'Responses' 'SUSTAINABLE' 'SafetyResearch' 'SalesStrategyBusiness'
 'United' 'employeeMiddle' 'executiveBoard' 'managerSenior' 'q4Investor'
 'MIT' 'SUSTAINABLE' 'extentTo' 'importantQuite' 'importantVery' 'BOSTON'
 'MIT' 'SUSTAINABLE' 'extentTo' 'importantQuite' 'importantVery' 'q17Yes44'
 'DJ' 'FTSE4Good' 'MIT' 'SUSTAINABLE' 'q23Yes69' 'BOSTON' 'MIT' 'Public'
 'SRI' 'SUSTAINABLE' 'extentTo' 'knowOtherq275' 'FTSE4Good' 'MIT' 'Public'
 'SUSTAINABLE' 'extentTo' 'importantQuite' 'importantVery' 'q32Yes16'
 'BOSTON' 'MIT' 'SUSTAINABLE' 'CompetitorsPublic' 'MIT' 'NGOs'
 'SUSTAINABLE' 'communitiesMediaPublic' 'communitiesVeryurgentQuite'
 'conditionsHuman' 'contractorsEmployeesCompetitorsGovernment'
 'contractorsMediaLocal' 'groupsLocal' 'groupsSuppliers' 'influentialQuite'
 'influentialVery' 'leadersEmployeesInvestorsGovernment' 'leadersSuppliers'
 'regulatorsConsumersNGOs' 'rightsResource' 'scarcityPollutionWater'
 'urgentNot' 'BOSTON' 'BULink' 'CSO' 'KPIs' 'MIT' 'SUSTAINABLE'
 'incentivesSeparate' 'knowOtherChief' 'q51Sustainability' 'reportingNone'
 'sustainabilityPersonal' 'sustainabilityStrong' 'AfricaLatin'
 'AmericaIndonesiaIndia' 'ColombiaChinaJapanDenmarkSouth' 'MIT'
 'SUSTAINABLE' 'communityOpposition' 'cycleInsufficient' 'geographiesLack'
 'q54AustralasiaMiddle' 'resourcesLack' 'Automobiles' 'BOSTON' 'MIT'
 'SUSTAINABLE' 'Technology' 'ABOUT' 'BBVA' 'BCG' 'BNY' 'BOSTON' 'Boston'
 'ECOFACT' 'Generation' 'High' 'IEHN' 'INNOVATION' 'MIT' 'PwC' 'SMR'
 'SUSTAINABILITY' 'SUSTAINABLE' 'THE' 'MIT' 'SMR']"
Emkay- Hero MotoCorp.pdf,['Raghunandhan' 'Bibhishan Jagtap'],Others,"['BUY' 'CAGR' 'CMP' 'Concall' 'Consensus' 'DOWJONES' 'EBITDA' 'FY15' 'FY17'
 'FY19E' 'GST' 'LEAP' 'Management' 'Months' 'NA' 'PAT' 'QoQ' 'Reuters'
 'Rs25bn' 'Rs500mn' 'US' 'YoY' 'Company' 'DOWJONES' 'EBITDA' 'Estimate'
 'GST' 'HMCL' 'Motocorp' 'PAT' 'Q1FY17' 'QoQ' 'Reuters' 'Rs500mn' 'Total'
 'DOWJONES' 'FinCorp' 'GST' 'HMCL' 'Haridwar' 'Motocorp' 'Reuters' 'Rs25bn'
 'YoY' 'Company' 'DOWJONES' 'Domestic' 'HMCL' 'Motocorp' 'Reuters'
 'Current' 'DOWJONES' 'Equity' 'Ex' 'FY15' 'HMCL' 'Motocorp' 'Non'
 'Reuters' 'DOWJONES' 'EBIT' 'EBITDA' 'FY15' 'HMCL' 'Mar' 'Motocorp'
 'Q1FY17' 'Reuters' 'Company' 'DOWJONES' 'HMCL' 'Motocorp' 'RECOMMENDATION'
 'Reuters' 'Emkay Global Financial Services Limited'
 'Emkay Global Financial Services Ltd' 'Stock Exchang India Limited'
 'ACCUMULATE' 'BSE' 'Bombay' 'CIN' 'Company' 'DISCLAIMERS' 'DOWJONES'
 'EGFSL' 'HMCL' 'HOLD' 'L67120MH1995PLC084899' 'MCX' 'Motocorp' 'NSE'
 'National' 'REDUCE' 'Research' 'Reuters' 'Ruby' 'SEBI' 'Senapati'
 'Subject']"
Comment_AM0001_GFL_071004.pdf,[],Others,"['AM0001' 'CDM' 'Executive' 'Fluorochemicals' 'GHG' 'HCFC22' 'HFC23'
 'Methodologies' 'UN' 'emailDear'
 'Yours For Gujarat Fluorochemicals Limited' 'CDM' 'Corporate'
 'Methodologies' 'AM0001' 'CDM' 'EB15' 'Executive' 'HCFC22' 'Methodologies'
 'Approved' 'CDM' 'CERS' 'CERs' 'HCFC22' 'HFC23' 'Montreal' 'OEM'
 'Original' 'PTFE' 'RAC' 'TFE' 'CDM' 'CFC' 'CFCs' 'HCFC' 'HCFC22' 'HCFCs'
 'Montreal' 'ODS' 'ODSs' 'PTFE' 'AM0001' 'CDM' 'CERs' 'CFC' 'CFCs' 'HCFC22'
 'HCFCs' 'HFC23' 'MNCs' 'Montreal' 'OEM' 'RAC' 'AM0001' 'CERs' 'DOEs'
 'HCFC22' 'HFC23' 'IPCC' 'informationCommon' 'AM0001' 'CDM' 'HCFC22']"
IIB - ANTIQUE.pdf,['' ''],Others,"['QFY RESULT REVIEW IndusInd Bank Limited' 'ANTIQUE' 'ARC' 'BANKS' 'BUY'
 'CAR' 'CASA' 'CET1' 'FY17E' 'FY19E' 'IIB' 'INR' 'INRbn' 'IndusInd' 'LAP'
 'NII' 'NIM' 'PAT' 'PT' 'RBI' 'RESEARCH' 'RESULT' 'RoE' 'Rs210mn' 'Rs470mn'
 'Rs520mn' 'THE' 'USDbn' 'ANTIQUE' 'Business' 'Credit' 'INRm'
 'INRm3QFY173QFY16YoY' 'Interest' 'NII' 'NPL' 'RESEARCH' 'RoaA' 'THE'
 'Treasury' 'ANTIQUE' 'Car' 'Corporate' 'Credit' 'JKL' 'RESEARCH'
 'RYmSPoKP' 'THE' 'TOfLgkklKU' 'UV' 'pZLLU' 'pqOSPrhOTLUUKP' 'robustCredit'
 'ANTIQUE' 'CASA' 'CRR' 'CV' 'Demonetization' 'FY17e' 'IIB' 'INR100bn'
 'INR30bn' 'IPO' 'Incremental' 'LAP' 'Overall' 'Personal' 'Q3FY17' 'QoQ'
 'RESEARCH' 'RoA' 'THE' 'Utility' 'YoY' 'ANTIQUE' 'EVA' 'RESEARCH' 'THE'
 'Total' 'ANTIQUE' 'Business' 'Credit' 'Fixed' 'INR' 'INRm' 'Int'
 'Interest' 'NII' 'NPA' 'RBI' 'RESEARCH' 'RoE' 'THE' 'Total' 'Treasury']"
ai-indiainfoline.pdf,['Research Team'],India Infoline Research,"['Oil Gas Exploration Services Ltd' 'Rs Alphageo India Ltd'
 'Rs Asian Oilfield Services Ltd' 'AGIL' 'AOSL' 'BUY' 'CBM' 'CMP' 'CY06'
 'Code' 'EPS' 'FY05' 'FY06' 'FY07' 'ISI' 'NELP' 'National' 'ONGC' 'OPM'
 'Oilfield' 'PAT' 'Rs250mn' 'Rs34bn' 'Rs500mn' 'Rs5bn' 'SVL' 'GDP'
 'Ministry' 'NELP' 'Natural' 'Petroleum' 'AGIL' 'AOL' 'AOSL' 'CBM'
 'CompletedTo' 'Hydrocarbons' 'NELP' 'ONGC' 'Rs80bn' 'SVL' 'Seismic' 'BSE'
 'BUY' 'CAGR' 'CBM' 'DGH' 'NELP' 'NSE' 'ONGC' 'Oman' 'Reliance' 'Rs15bn'
 'Rs34bn' 'Rs40bn' 'Rs6bn' 'Rs8bn' 'Rscr' 'SVL' 'Allied' 'CBM' 'Core' 'EPS'
 'Equity' 'Gas' 'IDBI' 'Integrated' 'Interpretation' 'Management' 'Oil'
 'SVL' 'Workover' 'CY06' 'Capital' 'EPS' 'FY08' 'Total' 'AGIL' 'ALPHAGEO'
 'Alphageo' 'BSE' 'BUY' 'CAGR' 'Cauvery' 'FY07' 'FY09' 'NSE' 'ONGC'
 'Rs150mn' 'Rs584mn' 'Rs850mn' 'Rscr' 'EPS' 'Equity' 'Hydrocarbons'
 'Management' 'Capital' 'Total' 'Not Rated Asian Oilfield Services Ltd'
 'AOSL' 'BSE' 'CBM' 'Consolidated' 'NSE' 'Oilfield' 'Rs180mn' 'Rs360mn'
 'Rscr' 'AOSL' 'CBM' 'Canaro' 'Citigroup' 'Company' 'Consolidated' 'EPS'
 'Equity' 'FY11' 'Items' 'Jubilant' 'OIL' 'ONGC' 'Oilfield' 'Rs190'
 'Rs277mn' 'Rs3bn' 'Rs76' 'Asian Oilfield Services Ltd'
 'India Infoline Ltd' 'Capital' 'Infoline' 'Oilfield' 'Total' 'WIP']"
